Designator	Value	Tolerance	Footprint	Quantity
R1	56k	1%	0402	1
R2	4.64k	1%	0402	1
R3, R39, R70, R86, R87, R88, R89	100	5%	0402	7
R4, R14, R32, R49, R62, R63, R67, R71, R83, R84, R85	0 (Jumper)	5%	0402	11
R5, R35, R36, R37, R65	1k	5%	0402	5
R6, R7, R15, R19, R20, R21, R23, R27, R43, R44, R45, R90, R91	10k	5%	0402	13
R8	6.3k	1%	0402	1
R9	1.21k	1%	0402	1
R10	470	1%	0402	1
R11, R13	1k	1%	0402	2
R12	10k	1%	0402	1
R16, R31, R38, R64, R78, R92, R93, R94, R95, R96, R97, R98, R99, R100	330	5%	0402	14
R17, R18, R33, R34, R40, R41, R42, R46, R47, R50, R51, R52, R54, R66, R73, R75, R77, R80, R81	4.7k	5%	0402	19
R22, R26	12k	1%	0402	2
R30, R82	15k	5%	0402	2
R53, R55	62k	5%	0402	2
R56, R58	205k	1%	0402	2
R57	147k	1%	0402	1
R59	59k	1%	0402	1
R60, R61	470	5%	0402	2
R68	150k	1%	0402	1
R69	226k	1%	0402	1
R72, R74, R76	100k	1%	0402	3
